INFO 2023-12-23 16:13:00,106 - Exibe menu           Success  
INFO 2023-12-23 16:13:00,832 - Adicionar tarefas    Success  
INFO 2023-12-23 16:13:01,219 - Exibe menu           Success  
INFO 2023-12-23 16:13:32,168 - Iniciar tarefa       Success  
INFO 2023-12-23 16:13:33,371 - Exibe menu           Success  
INFO 2023-12-23 16:13:39,828 - Finalizar tarefa     Success  
INFO 2023-12-23 16:13:39,832 - Exibe menu           Success  
INFO 2023-12-23 16:14:12,113 - Iniciar tarefa       Failed   
INFO 2023-12-23 16:14:13,050 - Exibe menu           Success  
INFO 2023-12-23 16:14:18,402 - Finalizar tarefa     Failed   
INFO 2023-12-23 16:14:19,202 - Exibe menu           Success  
INFO 2023-12-23 16:14:25,778 - Exibe menu           Success  
INFO 2023-12-23 16:14:26,600 - Exibir tarefas       Success  
INFO 2023-12-23 16:16:55,854 - Exibe menu           Success  
INFO 2023-12-23 16:16:57,264 - Adicionar tarefas    Success  
INFO 2023-12-23 16:16:58,362 - Exibe menu           Success  
INFO 2023-12-23 16:17:00,418 - Exibir tarefas       Success  
INFO 2023-12-23 16:19:57,311 - Exibe menu           Success  
INFO 2023-12-23 16:20:02,521 - Adicionar tarefas    Success  
INFO 2023-12-23 16:20:03,762 - Exibe menu           Success  
INFO 2023-12-23 16:20:04,808 - Adicionar tarefas    Success  
INFO 2023-12-23 16:20:05,137 - Exibe menu           Success  
INFO 2023-12-23 16:20:05,805 - Adicionar tarefas    Success  
INFO 2023-12-23 16:20:06,178 - Exibe menu           Success  
INFO 2023-12-23 16:20:08,287 - Exibir tarefas       Success  
INFO 2023-12-23 16:20:21,401 - Exibe menu           Success  
INFO 2023-12-23 16:20:23,069 - Adicionar tarefas    Success  
INFO 2023-12-23 16:20:23,899 - Exibe menu           Success  
INFO 2023-12-23 16:20:24,679 - Adicionar tarefas    Success  
INFO 2023-12-23 16:20:25,010 - Exibe menu           Success  
INFO 2023-12-23 16:20:25,575 - Adicionar tarefas    Success  
INFO 2023-12-23 16:20:25,859 - Exibe menu           Success  
INFO 2023-12-23 16:20:27,219 - Exibir tarefas       Success  
INFO 2023-12-23 16:20:37,169 - Exibe menu           Success  
INFO 2023-12-23 16:20:41,495 - Iniciar tarefa       Success  
INFO 2023-12-23 16:20:42,578 - Exibe menu           Success  
INFO 2023-12-23 16:20:53,021 - Iniciar tarefa       Failed   
INFO 2023-12-23 16:20:53,946 - Exibe menu           Success  
INFO 2023-12-23 16:20:55,144 - Exibir tarefas       Success  
INFO 2023-12-23 16:21:02,258 - Exibe menu           Success  
INFO 2023-12-23 16:21:10,039 - Finalizar tarefa     Success  
INFO 2023-12-23 16:21:11,253 - Exibe menu           Success  
INFO 2023-12-23 16:21:16,663 - Exibir tarefas       Success  
INFO 2023-12-23 16:22:16,978 - Exibe menu           Success  
INFO 2023-12-23 16:22:19,699 - Exibir tarefas       Success  
INFO 2023-12-23 16:22:23,799 - Remover tarefa       Success  
INFO 2023-12-23 16:22:25,091 - Exibe menu           Success  
INFO 2023-12-23 16:22:28,218 - Exibir tarefas       Success  
